road,chainage,lat,lon,model_type,name,length,condition,id
N1,74.829,23.4821382,91.0516944,link,Km post missing,0.12899999999999068,,1000280
N1,75.312,23.4817498298684,91.0563549686842,bridge,COREPAI BOX CULVERT,1.0330000000000013,B,1000281
N1,75.589,23.4815271,91.0590278,link,Road to Khangsanagar (Z1219) left road to Barua Z1028 right,0.7600000000000051,,1000282
N1,75.829,23.4815549,91.0613611,link,Km post missing,0.23999999999999488,,1000283
N1,76.481,23.480613086,91.0674097692,bridge,NIMSHAR SLAB CULVERT,8.440999999999988,A,1000284
N1,76.829,23.4801104,91.0706382,link,Km post missing,1.0,,1000285
N1,77.773,23.4770827,91.0789993,bridge,Box culvert,0.9440000000000026,A,1000286
N1,77.829,23.4770271,91.0794716,link,Km post missing,0.055999999999997385,,1000287
N1,78.382,23.4776722851,91.0847406393,bridge,KABILA DUBARCHAR SLAB CULVERT,7.225999999999999,C,1000288
N1,78.829,23.4781938,91.0889997,link,Km post missing,1.0,,1000289
N1,79.829,23.4775549,91.0986663,link,Km post missing,1.0,,1000290
N1,80.342,23.4778604,91.1036111,bridge,Box culvert,0.5130000000000052,A,1000291
N1,80.829,23.4779993,91.1055278,link,Km post missing,0.48699999999999477,,1000292
N1,80.949,23.4781159049382,91.1070332074074,bridge,NAZIRA BOX CULVERT,5.6370000000000005,B,1000293
N1,81.801,23.4789438,91.1177216,bridge,Box culvert,0.9720000000000084,A,1000294
N1,81.829,23.4789716,91.1179993,link,Km post missing,0.027999999999991587,,1000295
N1,81.846,23.4789716,91.118166,link,Road to Brahmanbaria(N102),0.017000000000010118,,1000296
N1,82.393,23.4793327,91.1234716,bridge,Box culvert,0.546999999999997,A,1000297
N1,82.437,23.4794083880733,91.1238920825688,bridge,TIPRA BAZAR BOX CULVERT,5.956000000000003,A,1000298
N1,82.829,23.4800827,91.1276382,link,Km post missing,0.43599999999999284,,1000299
N1,82.989,23.479544924,91.129047144,bridge,AMTOLI SLAB CULVERT,0.5520000000000067,A,1000300
N1,83.829,23.4767216,91.1364441,link,Km post missing,1.0,,1000301
N1,84.829,23.4682216,91.1394441,link,Km post missing,1.0,,1000302
N1,85.829,23.4595833,91.1421386,link,Km post missing,1.0,,1000303
N1,85.897,23.459,91.142333,link,Cross road Z1029,0.06800000000001205,,1000304
N1,86.829,23.4513056,91.1460552,link,Km post missing,0.931999999999988,,1000305
N1,87.132,23.448833,91.1471386,bridge,Bridge start,0.3030000000000115,A,1000306
N1,87.156,23.4486386,91.1472497,bridge,Bridge end,0.02400000000000091,A,1000307
N1,87.366,23.4469441,91.1481386,link,Cross Road with Z1052,0.20999999999999375,,1000308
N1,87.713,23.4436339598272,91.1493668151188,bridge,DHANPUR RCC GIDER BRIDGE,4.7239999999999895,A,1000309
N1,87.829,23.4425274,91.1497774,link,Km post missing,0.46299999999999386,,1000311
N1,88.513,23.4373886,91.1521944,link,Ctg 170 km,0.6840000000000117,,1000312
N1,89.513,23.4288882,91.1553889,link,Km post missing,1.0,,1000313
N1,90.493,23.4236938,91.1626944,link,Ctg 168 km,0.9799999999999898,,1000314
N1,90.521,23.4235827,91.1629722,bridge,Bridge start,0.028000000000005798,A,1000315
N1,90.558,23.423416,91.1632778,bridge,Bridge end,0.03700000000000614,A,1000316
N1,91.066,23.4213604,91.167666,link,Rail Road Crossing,0.5079999999999956,,1000317
N1,91.092,23.4212487704918,91.1678943372365,bridge,Paduar Bazar Bridge,3.379000000000005,C,1000318
N1,91.493,23.4195271,91.171416,link,Km post missing,0.4269999999999925,,1000320
N1,91.583,23.4191382,91.1721938,link,Left to Comilla Right to Noakhali,0.09000000000000341,,1000321
N1,92.121,23.4149444,91.1801382,link,"Ctg 66 km,Feni 52 km",0.5379999999999967,,1000322
N1,92.632,23.4131111,91.1846663,bridge,Bridge start,0.5110000000000099,A,1000323
N1,92.66,23.4130556,91.1849163,bridge,Bridge end,0.027999999999991587,A,1000324
N1,93.121,23.4125,91.1893886,link,Km post missing,0.4609999999999985,,1000325
N1,93.6,23.4119324230158,91.1939029849206,bridge,MOSTAPUR RCC GIDER BRIDGE,2.5079999999999956,B,1000326
N1,94.129,23.4113056,91.1988886,link,Ctg 164 km,1.0080000000000098,,1000328
N1,95.156,23.4100833,91.2087778,link,Ctg 163 km,1.027000000000001,,1000329
N1,95.193,23.4100278,91.2090833,bridge,Box culvert,0.03699999999999193,A,1000330
N1,96.173,23.4048056,91.2165278,link,Ctg 162 km,0.980000000000004,,1000331
N1,96.345,23.40375,91.2176382,bridge,Bridge start,0.17199999999999704,A,1000332
N1,96.374,23.4035556,91.2178049,bridge,Bridge end,0.028999999999996362,A,1000333
N1,97.173,23.398213447804338,91.22288776581436,link,Km post missing,0.7990000000000066,,1000334
N1,97.257,23.3976518197887,91.2234221346859,bridge,RAZAPARA RCC GIDER BRIDGE,9.544000000000011,A,1000335
N1,98.173,23.3915274,91.2292493,link,Km post missing,1.0,,1000337
N1,98.183,23.3914441,91.2293049,bridge,Box culvert,0.010000000000005116,A,1000338
N1,99.075,23.385083,91.2345552,bridge,Box culvert,0.8919999999999959,A,1000339
N1,99.09,23.3849719,91.2346108,bridge,Box culvert,0.015000000000000568,A,1000340
N1,99.173,23.3843886,91.2351108,link,Km post missing,0.08299999999999841,,1000341
N1,100.071,23.3779716,91.2403608,bridge,Bridge start,0.8979999999999961,A,1000342
N1,100.101,23.3777493,91.2405274,bridge,Bridge end,0.030000000000001137,A,1000343
N1,100.173,23.377166,91.2409163,link,Km post missing,0.07200000000000273,,1000344
N1,100.938,23.3713647755,91.2450175414999,bridge,Suagazi Bridge.,3.6809999999999974,A,1000345
N1,101.173,23.3695827,91.2462774,link,Km post missing,1.0,,1000347
N1,101.344,23.3683327,91.2471108,bridge,Box culvert,0.17099999999999227,A,1000348
N1,102.248,23.3615278,91.2515556,link,"Ctg 156 km,Feni 43 km",0.9040000000000106,,1000349
N1,102.614,23.3586389,91.25325,bridge,Bridge start,0.36599999999999966,A,1000350
N1,102.638,23.3584444,91.2533333,bridge,Bridge end,0.02400000000000091,A,1000351
N1,103.248,23.3536944,91.2561389,link,Km post missing,0.6099999999999994,,1000352
N1,103.456,23.3521636774381,91.2572910746724,bridge,Lalbag Bridge.,0.0,C,1000353
