road,id,model_type,condition,name,lat,lon,length
N1,1001748,bridge,C,PALONG KHALI BAZAR (1),21.1524632792452,92.1534145867924,0.17600000000004457
N1,1001749,link,,Box culvert,21.1521944,92.1535278,0.036000000000001364
N1,1001750,link,,Info.Missing,21.1507222,92.1545,0.19799999999997908
N1,1001751,bridge,C,PALONG KHALI BAZAR BRIDGE,21.1498906490706,92.1552156215613,0.132000000000005
N1,1001752,bridge,C,Palong Khali Bazar Bridge,21.1498906490706,92.1552156215613,0.0
N1,1001753,bridge,A,Palong Khali Bridge,21.1477676743494,92.1570426250929,0.3369999999999891
N1,1001754,bridge,C,PALONG KHALI RCC GIDER BRIDGE,21.1477676743494,92.1570426250929,0.0
N1,1001755,link,,Box culvert,21.147333,92.1574167,0.06900000000001683
N1,1001756,link,,Bridge start,21.1442774,92.1586389,0.36899999999997135
N1,1001757,link,,Bridge end,21.1441663,92.1586944,0.019000000000005457
N1,1001758,link,,Teknaf 38 km,21.1435274,92.1589722,0.08100000000001728
N1,1001759,bridge,B,KARUN TOLI RCC GIDER BRIDGE,21.1425462548387,92.159429216129,0.12000000000000455
N1,1001760,link,,Bridge start,21.1414997,92.1599167,0.1279999999999859
N1,1001761,link,,Bridge end,21.1410552,92.1602222,0.06099999999997863
N1,1001762,bridge,C,GIRA TALI RCC GIDER BRIDGE,21.1408647661691,92.1605222283582,0.03900000000004411
N1,1001763,bridge,C,Karontoli Bridge,21.1408647661691,92.1605222283582,0.0
N1,1001764,bridge,A,GIVATOLI RCC GIDER BRIDGE,21.140210455058,92.1615530950248,0.1339999999999577
N1,1001765,bridge,A,GIVA TOLI RCC GIDER BRIDGE,21.1388871840796,92.1636379074626,0.271000000000015
N1,1001766,link,,Box culvert,21.1381108,92.1648611,0.15899999999999181
N1,1001767,bridge,A,GIVA TOLI BOX CULVERT,21.1380664956896,92.1651978,0.03700000000003456
N1,1001768,link,,Info.Missing,21.1379719,92.1659167,0.07900000000000773
N1,1001769,bridge,C,GIVATOLI RCC GIDER BRIDGE,21.1379210829268,92.1663534195121,0.04499999999995907
N1,1001770,link,,Box culvert,21.137833,92.1671104,0.07800000000003138
N1,1001771,bridge,D,Kata Khali Bridge,21.1376124564885,92.1680587053435,0.103999999999985
N1,1001772,bridge,D,KATA KHALI RCC GIDER BRIDGE,21.1376124564885,92.1680587053435,0.0
N1,1001773,link,,Box culvert,21.1375552,92.1683049,0.026999999999986812
N1,1001774,bridge,C,ULI BANIA BOX CULVERT,21.1373350498154,92.1700112125461,0.17900000000003047
